System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
18:22:50.524, 0.000, 0.086, 0.078, 0.092, 0.008, 1109, 747, 0, 38, 41, 43, 30, 11.179, 9.360, 12.990, 6.000
18:22:51.509, 0.985, 0.134, 0.024, 0.076, 0.000, 972, 651, 0, 38, 41, 43, 30, 8.513, 7.107, 9.924, 2.000
18:22:52.484, 1.961, 0.268, 0.264, 0.126, 0.004, 1253, 945, 0, 38, 41, 43, 30, 14.880, 17.380, 12.374, 9.000
18:22:53.525, 3.002, 0.134, 0.126, 0.104, 0.008, 1191, 805, 0, 38, 41, 43, 30, 13.487, 14.842, 12.136, 1.000
18:22:54.512, 3.988, 0.024, 0.024, 0.074, 0.000, 975, 652, 0, 38, 41, 43, 30, 8.397, 6.853, 9.949, 2.000
18:22:55.487, 4.963, 3.758, 3.120, 0.356, 0.138, 1603, 2155, 0, 38, 41, 43, 30, 23.828, 23.155, 24.495, 33.000
18:22:56.599, 6.075, 0.208, 0.208, 0.122, 0.000, 1095, 831, 0, 38, 41, 43, 30, 26.937, 30.000, 23.866, 41.000
18:22:57.560, 7.036, 0.070, 0.070, 0.102, 0.000, 979, 650, 0, 39, 41, 43, 30, 16.327, 23.155, 9.463, 0.000
18:22:58.580, 8.056, 0.134, 0.104, 0.112, 0.012, 1016, 896, 0, 39, 41, 43, 30, 16.352, 23.737, 9.023, 4.000
18:22:59.575, 9.051, 0.070, 0.070, 0.100, 0.000, 982, 650, 0, 39, 41, 43, 30, 15.855, 22.693, 9.000, 2.000
18:23:00.575, 10.051, 0.118, 0.110, 0.114, 0.008, 1012, 943, 0, 39, 41, 43, 30, 17.164, 25.310, 8.978, 1.000
18:23:01.565, 11.041, 0.616, 0.588, 0.156, 0.028, 1121, 1246, 0, 40, 42, 44, 30, 18.477, 23.500, 13.466, 6.000
18:23:02.575, 12.051, 0.134, 0.082, 0.102, 0.000, 1024, 637, 0, 40, 42, 44, 30, 17.610, 26.382, 8.816, 2.000
18:23:03.551, 13.027, 0.116, 0.108, 0.116, 0.008, 1050, 880, 0, 40, 42, 44, 30, 16.521, 24.060, 9.000, 1.000
18:23:04.560, 14.036, 0.134, 0.068, 0.098, 0.000, 978, 646, 0, 40, 42, 44, 30, 15.519, 21.945, 9.045, 0.000
18:23:05.583, 15.059, 0.076, 0.076, 0.102, 0.000, 1012, 653, 0, 40, 42, 44, 30, 16.873, 24.378, 9.406, 1.000
18:23:06.563, 16.039, 0.308, 0.294, 0.172, 0.014, 1113, 1079, 0, 40, 42, 44, 30, 19.294, 27.848, 10.804, 2.000
18:23:07.553, 17.029, 0.134, 0.076, 0.110, 0.010, 989, 640, 0, 40, 42, 44, 30, 16.522, 23.821, 9.204, 2.000
18:23:08.539, 18.015, 0.068, 0.068, 0.100, 0.000, 982, 647, 0, 40, 42, 44, 30, 16.542, 24.318, 8.728, 0.000
18:23:09.595, 19.071, 0.118, 0.118, 0.116, 0.000, 1139, 643, 0, 40, 42, 44, 30, 16.546, 25.121, 7.971, 1.000
18:23:10.571, 20.047, 0.316, 0.300, 0.172, 0.016, 1464, 913, 0, 40, 42, 44, 30, 24.005, 35.219, 12.821, 14.000
18:23:11.572, 21.048, 0.436, 0.390, 0.180, 0.046, 1421, 976, 0, 40, 42, 44, 30, 22.153, 27.970, 16.337, 16.000
18:23:12.518, 21.994, 0.630, 0.572, 0.196, 0.058, 1462, 1201, 0, 40, 42, 44, 30, 19.078, 20.769, 17.391, 17.000
18:23:13.589, 23.066, 0.646, 0.598, 0.178, 0.048, 1607, 1369, 0, 40, 42, 45, 30, 23.598, 26.168, 21.028, 29.000
18:23:14.523, 23.999, 0.172, 0.166, 0.114, 0.006, 1329, 721, 0, 40, 42, 45, 30, 16.689, 19.086, 14.286, 4.000
18:23:15.519, 24.995, 0.040, 0.040, 0.084, 0.000, 1015, 653, 0, 40, 42, 45, 30, 10.804, 11.558, 10.050, 5.000
18:23:16.511, 25.987, 0.186, 0.172, 0.120, 0.014, 1158, 988, 0, 40, 42, 45, 30, 13.927, 16.000, 11.839, 1.000
